Tunnel length [m],Tunnel width [m],Tunnel height [m],Hydrauric diameter,T [K],Qdot [Kw],Critical velocity [m/s]
12,0.25,0.25,0.25,293,4.05,0.62141599384593
12,0.25,0.25,0.25,293,4.1,0.623962809166403
12,0.25,0.25,0.25,293,4.15,0.626489001934787
12,0.25,0.25,0.25,293,4.2,0.628994984619902
12,0.25,0.25,0.25,293,4.25,0.631481156647316
12,0.25,0.25,0.25,293,4.3,0.633947904959839
12,0.25,0.25,0.25,293,4.35,0.636395604547714
12,0.25,0.25,0.25,293,4.4,0.638824618950483
12,0.25,0.25,0.25,293,4.45,0.641235300732324
12,0.25,0.25,0.25,293,4.5,0.643627991932566
12,0.25,0.25,0.25,293,4.55,0.646003024492925
12,0.25,0.25,0.25,293,4.6,0.648360720662908
12,0.25,0.25,0.25,293,4.65,0.650701393384725
12,0.25,0.25,0.25,293,4.7,0.653025346658955
12,0.25,0.25,0.25,293,4.75,0.655332875892125
12,0.25,0.25,0.25,293,4.8,0.657624268227262
12,0.25,0.25,0.25,293,4.85,0.659899802858448
12,0.25,0.25,0.25,293,4.9,0.662159751330274
12,0.25,0.25,0.25,293,4.95,0.664404377823099
12,0.25,0.25,0.25,293,5,0.666633939424892
12,0.25,0.25,0.25,293,5.05,0.668848686390441
12,0.25,0.25,0.25,293,5.1,0.671048862388617
12,0.25,0.25,0.25,293,5.15,0.673056461227436
12,0.25,0.25,0.25,293,5.2,0.673056461227436
12,0.25,0.25,0.25,293,5.25,0.673056461227436
12,0.25,0.25,0.25,293,5.3,0.673056461227436
12,0.25,0.25,0.25,293,5.35,0.673056461227436
12,0.25,0.25,0.25,293,5.4,0.673056461227436
12,0.25,0.25,0.25,293,5.45,0.673056461227436
12,0.25,0.25,0.25,293,5.5,0.673056461227436
12,0.25,0.25,0.25,293,5.55,0.673056461227436
12,0.25,0.25,0.25,293,5.6,0.673056461227436
12,0.25,0.25,0.25,293,5.65,0.673056461227436
12,0.25,0.25,0.25,293,5.7,0.673056461227436
12,0.25,0.25,0.25,293,5.75,0.673056461227436
12,0.25,0.25,0.25,293,5.8,0.673056461227436
12,0.25,0.25,0.25,293,5.85,0.673056461227436
12,0.25,0.25,0.25,293,5.9,0.673056461227436
12,0.25,0.25,0.25,293,5.95,0.673056461227436
12,0.25,0.25,0.25,293,6,0.673056461227436
12,0.25,0.25,0.25,293,6.05,0.673056461227436
12,0.25,0.25,0.25,293,6.1,0.673056461227436
12,0.25,0.25,0.25,293,6.15,0.673056461227436
12,0.25,0.25,0.25,293,6.20000000000001,0.673056461227436
12,0.25,0.25,0.25,293,6.25000000000001,0.673056461227436
12,0.25,0.25,0.25,293,6.3,0.673056461227436
12,0.25,0.25,0.25,293,6.35,0.673056461227436
12,0.25,0.25,0.25,293,6.4,0.673056461227436
12,0.25,0.25,0.25,293,6.45000000000001,0.673056461227436
12,0.25,0.25,0.25,293,6.50000000000001,0.673056461227436
12,0.25,0.25,0.25,293,6.55,0.673056461227436
12,0.25,0.25,0.25,293,6.60000000000001,0.673056461227436
12,0.25,0.25,0.25,293,6.65000000000001,0.673056461227436
12,0.25,0.25,0.25,293,6.70000000000001,0.673056461227436
12,0.25,0.25,0.25,293,6.75000000000001,0.673056461227436
12,0.25,0.25,0.25,293,6.8,0.673056461227436
12,0.25,0.25,0.25,293,6.85000000000001,0.673056461227436
12,0.25,0.25,0.25,293,6.90000000000001,0.673056461227436
12,0.25,0.25,0.25,293,6.95000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.00000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.05000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.10000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.15000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.20000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.25000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.30000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.35000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.40000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.45000000000001,0.673056461227436
12,0.25,0.25,0.25,293,7.50000000000001,0.673056461227436
